Sales Order Number,Order Creation Date,Customer Number,Sales Organization,Line Item Number,Material Number,Product Description,Quantity Ordered,Unit of Measure,Net Order Value,Currency
5100008905,2024-10-01,10003003,2000,10,MAT-1002,Widget B,9,BOX,255.34,EUR
5100004812,2025-01-04,10002002,2000,20,MAT-1003,Gadget X,16,PCS,476.38,EUR
5100003779,2025-06-09,10002002,2000,30,MAT-1005,Device Z,7,PCS,112.89,USD
5100001842,2025-06-15,10003003,2000,10,MAT-1004,Gadget Y,12,EA,424.15,EUR
5100004947,2025-03-14,10003003,2000,20,MAT-1001,Widget A,9,BOX,496.99,USD
5100008323,2024-11-12,10003003,2000,30,MAT-1003,Gadget X,17,BOX,162.47,INR
5100002204,2025-01-04,10002002,1000,10,MAT-1004,Gadget Y,4,EA,301.82,USD
5100009948,2024-09-28,10002002,1000,20,MAT-1002,Widget B,12,EA,73.31,USD
5100002892,2025-03-22,10002002,2000,30,MAT-1001,Widget A,4,EA,498.19,USD
5100001142,2024-09-19,10003003,1000,10,MAT-1003,Gadget X,20,EA,276.46,USD
5100008151,2025-04-30,10003003,2000,20,MAT-1003,Gadget X,5,BOX,192.85,INR
5100004573,2025-03-10,10002002,1000,30,MAT-1001,Widget A,11,EA,85.58,USD
5100008072,2025-01-06,10002002,1000,10,MAT-1004,Gadget Y,17,BOX,239.66,EUR
5100003051,2024-08-27,10002002,1000,20,MAT-1004,Gadget Y,17,EA,488.92,EUR
5100002866,2025-07-04,10001001,2000,30,MAT-1001,Widget A,17,PCS,327.63,EUR
5100004943,2024-11-05,10003003,1000,10,MAT-1004,Gadget Y,6,EA,11.95,INR
5100005021,2024-09-30,10003003,1000,20,MAT-1005,Device Z,1,EA,317.93,INR
5100008731,2025-06-01,10003003,2000,30,MAT-1001,Widget A,6,BOX,388.69,EUR
5100002551,2025-04-02,10003003,2000,10,MAT-1003,Gadget X,1,PCS,42.95,USD
5100005706,2025-06-23,10003003,1000,20,MAT-1005,Device Z,1,BOX,314.58,INR
5100004046,2024-08-06,10003003,1000,30,MAT-1001,Widget A,1,PCS,12.92,INR
5100004078,2024-09-08,10003003,1000,10,MAT-1003,Gadget X,8,PCS,495.71,USD
5100008878,2024-07-31,10001001,2000,20,MAT-1002,Widget B,15,PCS,13.76,INR
5100003868,2025-03-15,10003003,2000,30,MAT-1001,Widget A,14,EA,192.84,INR
5100002148,2025-04-18,10003003,2000,10,MAT-1001,Widget A,5,BOX,247.71,USD
5100007808,2025-04-27,10001001,2000,20,MAT-1001,Widget A,19,PCS,140.58,EUR
5100003828,2025-05-27,10003003,2000,30,MAT-1003,Gadget X,7,EA,136.59,EUR
5100001943,2024-10-04,10001001,1000,10,MAT-1001,Widget A,5,EA,227.27,INR
5100008022,2024-11-24,10001001,2000,20,MAT-1003,Gadget X,17,BOX,489.72,USD
5100004384,2024-10-12,10002002,2000,30,MAT-1001,Widget A,1,PCS,197.18,EUR
5100004362,2025-06-24,10002002,1000,10,MAT-1005,Device Z,6,BOX,253.84,USD
5100002562,2025-04-28,10003003,2000,20,MAT-1003,Gadget X,20,PCS,23.21,USD
5100005594,2025-06-27,10001001,2000,30,MAT-1005,Device Z,11,BOX,275.47,USD
5100007675,2024-11-02,10003003,2000,10,MAT-1002,Widget B,10,BOX,380.74,EUR
5100008077,2024-10-12,10002002,1000,20,MAT-1002,Widget B,1,BOX,470.34,EUR
5100001186,2024-11-26,10001001,2000,30,MAT-1002,Widget B,16,EA,395.01,USD
5100004309,2025-05-14,10001001,1000,10,MAT-1005,Device Z,5,EA,39.18,USD
5100007355,2024-10-06,10001001,2000,20,MAT-1005,Device Z,6,EA,380.45,INR
5100006685,2024-11-04,10003003,1000,30,MAT-1004,Gadget Y,1,EA,344.62,USD
5100007299,2024-12-11,10001001,1000,10,MAT-1004,Gadget Y,17,BOX,28.79,EUR
5100008478,2025-05-21,10003003,2000,20,MAT-1003,Gadget X,13,EA,303.18,EUR
5100004072,2025-02-26,10001001,1000,30,MAT-1005,Device Z,1,PCS,295.88,USD
5100006507,2025-07-15,10002002,2000,10,MAT-1003,Gadget X,8,BOX,377.87,EUR
5100009919,2025-07-05,10001001,2000,20,MAT-1004,Gadget Y,18,EA,31.18,INR
5100005279,2025-04-20,10002002,2000,30,MAT-1003,Gadget X,14,PCS,305.81,USD
5100006783,2024-12-28,10003003,1000,10,MAT-1002,Widget B,15,PCS,436.64,EUR
5100007157,2024-10-12,10002002,1000,20,MAT-1001,Widget A,1,PCS,209.51,INR
5100008467,2025-01-18,10002002,2000,30,MAT-1003,Gadget X,14,BOX,148.11,USD
5100002308,2024-09-09,10003003,1000,10,MAT-1002,Widget B,9,BOX,381.88,INR
5100002416,2025-03-20,10001001,1000,20,MAT-1003,Gadget X,6,PCS,359.59,EUR
5100009611,2024-09-11,10001001,1000,30,MAT-1005,Device Z,8,BOX,330.56,INR
5100003246,2024-10-15,10001001,2000,10,MAT-1002,Widget B,2,PCS,105.59,EUR
5100004897,2025-02-22,10003003,1000,20,MAT-1005,Device Z,3,BOX,156.5,USD
5100003102,2024-08-21,10001001,2000,30,MAT-1005,Device Z,15,PCS,113.9,EUR
5100008451,2025-05-17,10002002,2000,10,MAT-1001,Widget A,11,PCS,31.79,USD
5100008867,2025-05-14,10001001,1000,20,MAT-1003,Gadget X,7,BOX,462.33,INR
5100006920,2025-07-02,10002002,1000,30,MAT-1002,Widget B,6,PCS,497.65,INR
5100007239,2025-06-20,10002002,2000,10,MAT-1004,Gadget Y,18,PCS,295.51,INR
5100008166,2025-06-01,10003003,1000,20,MAT-1003,Gadget X,12,BOX,428.18,EUR
5100003032,2025-05-09,10001001,1000,30,MAT-1003,Gadget X,19,PCS,431.38,USD
5100004025,2024-09-27,10002002,2000,10,MAT-1003,Gadget X,3,EA,141.91,USD
5100001079,2025-03-22,10002002,2000,20,MAT-1003,Gadget X,2,PCS,268.62,EUR
5100007633,2024-08-10,10003003,1000,30,MAT-1003,Gadget X,6,BOX,342.64,USD
5100004200,2024-09-12,10003003,1000,10,MAT-1005,Device Z,13,BOX,458.98,EUR
5100007243,2025-07-16,10001001,2000,20,MAT-1001,Widget A,20,EA,130.9,USD
5100003663,2025-06-10,10001001,1000,30,MAT-1002,Widget B,5,EA,308.36,USD
5100009151,2024-10-30,10001001,2000,10,MAT-1004,Gadget Y,7,EA,31.63,INR
5100007880,2025-04-13,10001001,2000,20,MAT-1002,Widget B,15,BOX,34.52,INR
5100007228,2024-09-16,10003003,1000,30,MAT-1004,Gadget Y,5,BOX,132.33,INR
5100005038,2025-05-07,10001001,2000,10,MAT-1005,Device Z,20,BOX,58.29,USD
5100003181,2025-04-10,10003003,1000,20,MAT-1003,Gadget X,19,BOX,367.17,USD
5100006981,2024-11-30,10001001,2000,30,MAT-1003,Gadget X,11,PCS,42.83,USD
5100001314,2024-08-22,10002002,2000,10,MAT-1003,Gadget X,16,PCS,332.33,INR
5100007630,2024-11-04,10003003,2000,20,MAT-1003,Gadget X,13,EA,403.64,USD
5100009955,2025-04-15,10002002,2000,30,MAT-1005,Device Z,13,EA,339.0,USD
5100002549,2024-12-19,10002002,2000,10,MAT-1001,Widget A,14,PCS,207.1,INR
5100003069,2025-03-01,10001001,1000,20,MAT-1004,Gadget Y,3,PCS,351.14,USD
5100008037,2025-02-25,10001001,2000,30,MAT-1001,Widget A,10,BOX,213.84,USD
5100002867,2025-07-17,10001001,1000,10,MAT-1001,Widget A,4,BOX,465.37,EUR
5100005240,2025-04-16,10002002,2000,20,MAT-1004,Gadget Y,3,PCS,282.91,INR
5100001052,2025-01-12,10002002,1000,30,MAT-1005,Device Z,3,PCS,311.21,EUR
5100002099,2025-07-12,10002002,2000,10,MAT-1005,Device Z,16,PCS,171.08,USD
5100008403,2025-03-22,10003003,2000,20,MAT-1001,Widget A,11,PCS,102.72,INR
5100002252,2024-11-07,10002002,1000,30,MAT-1005,Device Z,3,EA,122.41,EUR
5100005846,2024-11-14,10001001,1000,10,MAT-1004,Gadget Y,3,BOX,485.83,INR
5100006284,2025-03-23,10001001,2000,20,MAT-1004,Gadget Y,7,EA,12.43,EUR
5100008973,2024-09-26,10001001,1000,30,MAT-1004,Gadget Y,16,PCS,138.09,USD
5100007731,2024-11-17,10001001,1000,10,MAT-1005,Device Z,4,PCS,112.4,USD
5100003407,2024-12-11,10002002,2000,20,MAT-1001,Widget A,18,BOX,449.38,USD
5100006339,2024-12-13,10003003,1000,30,MAT-1004,Gadget Y,11,BOX,120.13,INR
