DeliveryID,OrderID,DeliveryDate,DeliveredQty,City,Status
DIS020000,OIND020000,2025-02-01,1,Bangalore,Delivered
DIS020001,OIND020001,2025-02-02,2,Chennai,In Transit
DIS020002,OIND020002,2025-02-03,1,Hyderabad,Delivered
DIS020003,OIND020003,2025-02-04,1,Bangalore,In Transit
DIS020004,OIND020004,2025-02-05,1,Pune,Delivered
DIS020005,OIND020005,2025-02-06,4,Bangalore,In Transit
DIS020006,OIND020006,2025-02-07,2,Mumbai,Delivered
DIS020007,OIND020007,2025-02-08,1,Hyderabad,Delivered
DIS020008,OIND020008,2025-02-09,2,Bangalore,Shipped
DIS020009,OIND020009,2025-02-10,4,Delhi,Shipped
DIS020010,OIND020010,2025-02-11,3,Delhi,In Transit
DIS020011,OIND020011,2025-02-12,3,Mumbai,Shipped
DIS020012,OIND020012,2025-02-13,2,Hyderabad,In Transit
DIS020013,OIND020013,2025-02-14,2,Hyderabad,Shipped
DIS020014,OIND020014,2025-02-15,1,Delhi,Shipped
DIS020015,OIND020015,2025-02-16,3,Chennai,Delivered
DIS020016,OIND020016,2025-02-17,3,Hyderabad,Shipped
DIS020017,OIND020017,2025-02-18,1,Bangalore,Delivered
DIS020018,OIND020018,2025-02-19,1,Pune,Delivered
DIS020019,OIND020019,2025-02-20,3,Delhi,In Transit
DIS020020,OIND020020,2025-02-21,3,Chennai,Delivered
DIS020021,OIND020021,2025-02-22,3,Mumbai,Delivered
DIS020022,OIND020022,2025-02-23,2,Mumbai,In Transit
DIS020023,OIND020023,2025-02-24,2,Bangalore,Shipped
DIS020024,OIND020024,2025-02-25,3,Hyderabad,Delivered
DIS020025,OIND020025,2025-02-26,1,Chennai,Delivered
DIS020026,OIND020026,2025-02-27,3,Pune,In Transit
DIS020027,OIND020027,2025-02-28,4,Pune,Delivered
DIS020028,OIND020028,2025-03-01,1,Chennai,In Transit
DIS020029,OIND020029,2025-03-02,3,Bangalore,Delivered
DIS020030,OIND020030,2025-03-03,1,Chennai,Delivered
DIS020031,OIND020031,2025-03-04,3,Chennai,Delivered
DIS020032,OIND020032,2025-03-05,2,Pune,Shipped
DIS020033,OIND020033,2025-03-06,4,Pune,Shipped
DIS020034,OIND020034,2025-03-07,2,Pune,Delivered
DIS020035,OIND020035,2025-03-08,4,Mumbai,Shipped
DIS020036,OIND020036,2025-03-09,2,Hyderabad,Delivered
DIS020037,OIND020037,2025-03-10,3,Hyderabad,Delivered
DIS020038,OIND020038,2025-03-11,1,Delhi,Delivered
DIS020039,OIND020039,2025-03-12,4,Chennai,Delivered
DIS020040,OIND020040,2025-03-13,3,Bangalore,Shipped
DIS020041,OIND020041,2025-03-14,2,Bangalore,Delivered
DIS020042,OIND020042,2025-03-15,2,Chennai,Delivered
DIS020043,OIND020043,2025-03-16,4,Hyderabad,Delivered
DIS020044,OIND020044,2025-03-17,2,Bangalore,Shipped
DIS020045,OIND020045,2025-03-18,4,Bangalore,Delivered
DIS020046,OIND020046,2025-03-19,1,Bangalore,Shipped
DIS020047,OIND020047,2025-03-20,1,Hyderabad,Shipped
DIS020048,OIND020048,2025-03-21,3,Bangalore,Delivered
DIS020049,OIND020049,2025-03-22,1,Delhi,Delivered
DIS020050,OIND020050,2025-03-23,1,Mumbai,Delivered
DIS020051,OIND020051,2025-03-24,1,Chennai,In Transit
DIS020052,OIND020052,2025-03-25,3,Hyderabad,Delivered
DIS020053,OIND020053,2025-03-26,4,Pune,Shipped
DIS020054,OIND020054,2025-03-27,2,Bangalore,In Transit
DIS020055,OIND020055,2025-03-28,2,Delhi,Shipped
DIS020056,OIND020056,2025-03-29,2,Mumbai,Shipped
DIS020057,OIND020057,2025-03-30,1,Delhi,Shipped
DIS020058,OIND020058,2025-03-31,1,Delhi,Delivered
DIS020059,OIND020059,2025-04-01,4,Bangalore,Delivered
DIS020060,OIND020060,2025-04-02,4,Delhi,Shipped
DIS020061,OIND020061,2025-04-03,2,Pune,Delivered
DIS020062,OIND020062,2025-04-04,4,Pune,In Transit
DIS020063,OIND020063,2025-04-05,4,Chennai,Shipped
DIS020064,OIND020064,2025-04-06,3,Bangalore,Delivered
DIS020065,OIND020065,2025-04-07,2,Bangalore,In Transit
DIS020066,OIND020066,2025-04-08,4,Mumbai,Delivered
DIS020067,OIND020067,2025-04-09,4,Mumbai,In Transit
DIS020068,OIND020068,2025-04-10,1,Pune,Delivered
DIS020069,OIND020069,2025-04-11,1,Chennai,In Transit
DIS020070,OIND020070,2025-04-12,4,Delhi,Delivered
DIS020071,OIND020071,2025-04-13,2,Hyderabad,Delivered
DIS020072,OIND020072,2025-04-14,2,Pune,In Transit
DIS020073,OIND020073,2025-04-15,3,Pune,Shipped
DIS020074,OIND020074,2025-04-16,1,Delhi,In Transit
DIS020075,OIND020075,2025-04-17,2,Chennai,Delivered
DIS020076,OIND020076,2025-04-18,1,Pune,In Transit
DIS020077,OIND020077,2025-04-19,2,Hyderabad,Shipped
DIS020078,OIND020078,2025-04-20,3,Chennai,In Transit
DIS020079,OIND020079,2025-04-21,4,Bangalore,Shipped
DIS020080,OIND020080,2025-04-22,4,Chennai,In Transit
DIS020081,OIND020081,2025-04-23,3,Mumbai,Delivered
DIS020082,OIND020082,2025-04-24,1,Hyderabad,In Transit
DIS020083,OIND020083,2025-04-25,3,Pune,Shipped
DIS020084,OIND020084,2025-04-26,4,Chennai,In Transit
DIS020085,OIND020085,2025-04-27,3,Mumbai,In Transit
DIS020086,OIND020086,2025-04-28,1,Chennai,Delivered
DIS020087,OIND020087,2025-04-29,1,Pune,Shipped
DIS020088,OIND020088,2025-04-30,3,Chennai,Delivered
DIS020089,OIND020089,2025-05-01,4,Mumbai,In Transit
DIS020090,OIND020090,2025-05-02,3,Mumbai,Delivered
DIS020091,OIND020091,2025-05-03,2,Chennai,Delivered
DIS020092,OIND020092,2025-05-04,2,Delhi,Shipped
DIS020093,OIND020093,2025-05-05,1,Hyderabad,Delivered
DIS020094,OIND020094,2025-05-06,3,Delhi,In Transit
DIS020095,OIND020095,2025-05-07,3,Pune,Delivered
DIS020096,OIND020096,2025-05-08,2,Mumbai,In Transit
DIS020097,OIND020097,2025-05-09,1,Bangalore,Shipped
DIS020098,OIND020098,2025-05-10,4,Bangalore,Delivered
DIS020099,OIND020099,2025-05-11,2,Delhi,Shipped
DIS020100,OIND020100,2025-05-12,4,Pune,In Transit
DIS020101,OIND020101,2025-05-13,4,Hyderabad,Delivered
DIS020102,OIND020102,2025-05-14,3,Chennai,Delivered
DIS020103,OIND020103,2025-05-15,1,Hyderabad,Delivered
DIS020104,OIND020104,2025-05-16,4,Delhi,In Transit
DIS020105,OIND020105,2025-05-17,2,Hyderabad,Delivered
DIS020106,OIND020106,2025-05-18,2,Bangalore,In Transit
DIS020107,OIND020107,2025-05-19,4,Hyderabad,Delivered
DIS020108,OIND020108,2025-05-20,3,Mumbai,Delivered
DIS020109,OIND020109,2025-05-21,1,Hyderabad,Delivered
DIS020110,OIND020110,2025-05-22,4,Pune,In Transit
DIS020111,OIND020111,2025-05-23,2,Hyderabad,In Transit
DIS020112,OIND020112,2025-05-24,1,Pune,Delivered
DIS020113,OIND020113,2025-05-25,2,Delhi,In Transit
DIS020114,OIND020114,2025-05-26,2,Pune,Shipped
DIS020115,OIND020115,2025-05-27,2,Delhi,Shipped
DIS020116,OIND020116,2025-05-28,2,Delhi,Delivered
DIS020117,OIND020117,2025-05-29,2,Chennai,Delivered
DIS020118,OIND020118,2025-05-30,2,Hyderabad,Delivered
DIS020119,OIND020119,2025-05-31,3,Pune,In Transit
DIS020120,OIND020120,2025-06-01,2,Hyderabad,In Transit
DIS020121,OIND020121,2025-06-02,2,Delhi,In Transit
DIS020122,OIND020122,2025-06-03,4,Hyderabad,In Transit
DIS020123,OIND020123,2025-06-04,1,Hyderabad,Shipped
DIS020124,OIND020124,2025-06-05,4,Pune,Delivered
DIS020125,OIND020125,2025-06-06,2,Pune,Shipped
DIS020126,OIND020126,2025-06-07,3,Pune,Delivered
DIS020127,OIND020127,2025-06-08,2,Pune,Delivered
DIS020128,OIND020128,2025-06-09,3,Chennai,Shipped
DIS020129,OIND020129,2025-06-10,1,Bangalore,Shipped
DIS020130,OIND020130,2025-06-11,1,Mumbai,In Transit
DIS020131,OIND020131,2025-06-12,4,Hyderabad,In Transit
DIS020132,OIND020132,2025-06-13,4,Delhi,Delivered
DIS020133,OIND020133,2025-06-14,3,Delhi,Shipped
DIS020134,OIND020134,2025-06-15,3,Pune,Delivered
DIS020135,OIND020135,2025-06-16,1,Chennai,Delivered
DIS020136,OIND020136,2025-06-17,1,Mumbai,In Transit
DIS020137,OIND020137,2025-06-18,3,Hyderabad,In Transit
DIS020138,OIND020138,2025-06-19,2,Pune,Delivered
DIS020139,OIND020139,2025-06-20,1,Pune,Shipped
DIS020140,OIND020140,2025-06-21,2,Chennai,In Transit
DIS020141,OIND020141,2025-06-22,3,Mumbai,In Transit
DIS020142,OIND020142,2025-06-23,1,Mumbai,Shipped
DIS020143,OIND020143,2025-06-24,1,Delhi,In Transit
DIS020144,OIND020144,2025-06-25,2,Mumbai,In Transit
DIS020145,OIND020145,2025-06-26,4,Bangalore,In Transit
DIS020146,OIND020146,2025-06-27,4,Hyderabad,Shipped
DIS020147,OIND020147,2025-06-28,1,Delhi,In Transit
DIS020148,OIND020148,2025-06-29,3,Delhi,Delivered
DIS020149,OIND020149,2025-06-30,2,Mumbai,Delivered
DIS020150,OIND020150,2025-07-01,1,Pune,Delivered
DIS020151,OIND020151,2025-07-02,4,Chennai,Delivered
DIS020152,OIND020152,2025-07-03,2,Mumbai,Delivered
DIS020153,OIND020153,2025-07-04,2,Mumbai,In Transit
DIS020154,OIND020154,2025-07-05,4,Hyderabad,Shipped
DIS020155,OIND020155,2025-07-06,4,Mumbai,In Transit
DIS020156,OIND020156,2025-07-07,3,Hyderabad,Delivered
DIS020157,OIND020157,2025-07-08,1,Bangalore,Shipped
DIS020158,OIND020158,2025-07-09,2,Hyderabad,In Transit
