OrderID,CustomerID,MaterialCode,OrderDate,City,Quantity,Status
OIND020000,6869,WPUR300,2025-01-01,Bangalore,2,Open
OIND020001,2132,WPUR100,2025-01-02,Pune,4,Open
OIND020002,5267,WPUR300,2025-01-03,Pune,3,In Process
OIND020003,1082,WPUR200,2025-01-04,Mumbai,4,Open
OIND020004,3998,WPUR200,2025-01-05,Hyderabad,4,Open
OIND020005,8818,WPUR300,2025-01-06,Pune,3,Open
OIND020006,7826,WPUR100,2025-01-07,Chennai,1,Open
OIND020007,4765,WPUR300,2025-01-08,Bangalore,4,In Process
OIND020008,5332,WPUR200,2025-01-09,Chennai,4,Delivered
OIND020009,8216,WPUR200,2025-01-10,Bangalore,3,Delivered
OIND020010,2392,WPUR300,2025-01-11,Bangalore,1,Open
OIND020011,9637,WPUR200,2025-01-12,Chennai,1,In Process
OIND020012,6792,WPUR300,2025-01-13,Delhi,4,Open
OIND020013,8162,WPUR300,2025-01-14,Hyderabad,2,Open
OIND020014,7848,WPUR300,2025-01-15,Chennai,4,Delivered
OIND020015,7832,WPUR200,2025-01-16,Bangalore,1,In Process
OIND020016,2784,WPUR100,2025-01-17,Bangalore,3,In Process
OIND020017,1657,WPUR300,2025-01-18,Hyderabad,2,In Process
OIND020018,3385,WPUR300,2025-01-19,Bangalore,1,Open
OIND020019,8342,WPUR100,2025-01-20,Pune,2,In Process
OIND020020,3196,WPUR100,2025-01-21,Chennai,2,In Process
OIND020021,3478,WPUR100,2025-01-22,Mumbai,3,Open
OIND020022,9366,WPUR100,2025-01-23,Chennai,4,Delivered
OIND020023,4194,WPUR200,2025-01-24,Bangalore,1,Delivered
OIND020024,9512,WPUR300,2025-01-25,Hyderabad,2,Delivered
OIND020025,6616,WPUR100,2025-01-26,Delhi,2,Delivered
OIND020026,5159,WPUR300,2025-01-27,Mumbai,2,Delivered
OIND020027,7664,WPUR200,2025-01-28,Hyderabad,4,In Process
OIND020028,1103,WPUR300,2025-01-29,Pune,2,In Process
OIND020029,1117,WPUR200,2025-01-30,Mumbai,2,Delivered
OIND020030,6878,WPUR200,2025-01-31,Chennai,3,Delivered
OIND020031,4067,WPUR300,2025-02-01,Bangalore,2,Delivered
OIND020032,3790,WPUR200,2025-02-02,Chennai,4,Open
OIND020033,7316,WPUR200,2025-02-03,Chennai,3,Delivered
OIND020034,8847,WPUR300,2025-02-04,Mumbai,2,Open
OIND020035,9530,WPUR300,2025-02-05,Mumbai,4,Open
OIND020036,6102,WPUR200,2025-02-06,Pune,2,Open
OIND020037,8075,WPUR200,2025-02-07,Pune,4,Delivered
OIND020038,7994,WPUR300,2025-02-08,Chennai,4,Delivered
OIND020039,9965,WPUR300,2025-02-09,Chennai,4,Delivered
OIND020040,4098,WPUR300,2025-02-10,Delhi,2,In Process
OIND020041,5730,WPUR200,2025-02-11,Delhi,2,In Process
OIND020042,6842,WPUR300,2025-02-12,Pune,3,Delivered
OIND020043,3099,WPUR300,2025-02-13,Delhi,4,Open
OIND020044,6347,WPUR100,2025-02-14,Delhi,1,In Process
OIND020045,7638,WPUR200,2025-02-15,Chennai,4,Open
OIND020046,5502,WPUR300,2025-02-16,Bangalore,1,Open
OIND020047,1360,WPUR100,2025-02-17,Mumbai,4,Delivered
OIND020048,4749,WPUR200,2025-02-18,Chennai,3,Open
OIND020049,1110,WPUR300,2025-02-19,Mumbai,1,Delivered
OIND020050,9509,WPUR200,2025-02-20,Bangalore,2,Open
OIND020051,1708,WPUR300,2025-02-21,Bangalore,1,Open
OIND020052,9538,WPUR300,2025-02-22,Chennai,2,Open
OIND020053,4758,WPUR200,2025-02-23,Delhi,2,Open
OIND020054,2561,WPUR200,2025-02-24,Mumbai,2,In Process
OIND020055,8259,WPUR100,2025-02-25,Hyderabad,4,Delivered
OIND020056,1605,WPUR300,2025-02-26,Mumbai,4,Open
OIND020057,5814,WPUR300,2025-02-27,Pune,3,Open
OIND020058,8760,WPUR300,2025-02-28,Chennai,1,Delivered
OIND020059,8224,WPUR100,2025-03-01,Hyderabad,2,Delivered
OIND020060,8269,WPUR100,2025-03-02,Hyderabad,1,In Process
OIND020061,6422,WPUR200,2025-03-03,Mumbai,2,Open
OIND020062,6394,WPUR100,2025-03-04,Hyderabad,1,Open
OIND020063,1922,WPUR300,2025-03-05,Pune,3,Open
OIND020064,8249,WPUR200,2025-03-06,Pune,4,Delivered
OIND020065,3215,WPUR100,2025-03-07,Delhi,1,In Process
OIND020066,3990,WPUR300,2025-03-08,Pune,3,In Process
OIND020067,5148,WPUR300,2025-03-09,Mumbai,2,In Process
OIND020068,1239,WPUR200,2025-03-10,Mumbai,4,Open
OIND020069,6398,WPUR100,2025-03-11,Delhi,3,Open
OIND020070,4103,WPUR300,2025-03-12,Bangalore,3,Delivered
OIND020071,5863,WPUR200,2025-03-13,Bangalore,3,In Process
OIND020072,9151,WPUR200,2025-03-14,Bangalore,1,In Process
OIND020073,9525,WPUR300,2025-03-15,Chennai,4,Open
OIND020074,8610,WPUR100,2025-03-16,Mumbai,1,In Process
OIND020075,9358,WPUR300,2025-03-17,Pune,4,Open
OIND020076,9209,WPUR200,2025-03-18,Bangalore,2,In Process
OIND020077,2250,WPUR300,2025-03-19,Bangalore,1,In Process
OIND020078,6527,WPUR300,2025-03-20,Bangalore,2,In Process
OIND020079,9330,WPUR100,2025-03-21,Delhi,3,In Process
OIND020080,8652,WPUR300,2025-03-22,Delhi,3,In Process
OIND020081,6915,WPUR100,2025-03-23,Bangalore,3,Open
OIND020082,6276,WPUR200,2025-03-24,Bangalore,3,Open
OIND020083,8395,WPUR200,2025-03-25,Mumbai,4,Open
OIND020084,6011,WPUR200,2025-03-26,Chennai,3,In Process
OIND020085,6646,WPUR100,2025-03-27,Mumbai,3,In Process
OIND020086,5649,WPUR300,2025-03-28,Mumbai,3,Delivered
OIND020087,5039,WPUR300,2025-03-29,Bangalore,4,Open
OIND020088,8248,WPUR100,2025-03-30,Pune,2,Open
OIND020089,5278,WPUR300,2025-03-31,Bangalore,3,Open
OIND020090,5770,WPUR300,2025-04-01,Mumbai,1,Delivered
OIND020091,7201,WPUR200,2025-04-02,Mumbai,2,In Process
OIND020092,8305,WPUR300,2025-04-03,Chennai,2,Delivered
OIND020093,7323,WPUR200,2025-04-04,Pune,2,Delivered
